the              : 265364: определенный артикль
be               : 216236: быть, нужно, будь
and              : 164059: и
of               : 123410: показывает принадлежность
a                : 118190: неопределённый артикль
to               : 117665: к, по направлению, указывает на инфинитив глагола
pass             :   2880: передавать, проходить, проход
friend           :   2854: друг, дружественный
close            :   2842: закрывать, закрытый, близкий
three            :   2818: три, трех
life             :   2809: жизнь, срок службы
near             :   2807: около, близкий, почти
watch            :   2804: наблюдать, следить, часы, дозор
oh               :   2752: ох
miss             :   2726: мисс
move             :   2719: перемещать, перемещение
toward           :   2690: по отношению к
course           :   2669: курс, ход
better           :   2663: лучше, лучший, бы лучше
enough           :   2659: достаточно, достаточный
stop             :   2656: останавливать, переставать, прекращаться, остановка, стоповый
bring            :   2646: приносить, переносить, приводить
anything         :   2642: что-нибудь
cry              :   2629: плакать, кричать, крик
name             :   2604: называть, имя
same             :   2592: это, тот, же
point            :   2587: указывать, точка
hard             :   2573: трудно, упорно, твердо, жесткий
quite            :   2556: совсем
arm              :   2533: вооружаться, рычаг (рука)
sure             :   2523: несомненно, уверенный, убедитесь
sir              :   2500: сэр
half             :   2448: половина, наполовину
sound            :   2430: звучать, звук, надежный, инф)звуковой
love             :   2419: любить, любовь
few              :   2418: несколько, некоторый, мало
air              :   2413: проветривать, воздух, эфир, вид, воздушный
dear             :   2405: дорогой
soon             :   2395: скоро
part             :   2386: разделять, часть
help             :   2340: помогать, помощь, инф)подсказка
against          :   2338: против
return           :   2314: возвращать, обратный, возврат
wait             :   2294: ожидать, ожидание
wall             :   2288: стена
round            :   2280: округлять, круг, круглый
answer           :   2271: на, ответ
woman            :   2269: женщина, женский
follow           :   2262: следовать
high             :   2261: высоко, высокий, уровень
window           :   2261: окно
young            :   2241: молодой
until            :   2235: пока
show             :   2231: показывать, показ
father           :   2229: отец, отцовский
sudden           :   2228: внезапный
myself           :   2204: мсам, себя, себя самого, я
happen           :   2197: случаться
along            :   2174: вдоль
both             :   2173: оба
kind             :   2169: тип, любезный
lord             :   2169: лорд
white            :   2164: белый
break            :   2150: ломать, инф)прерывать, прерывание
next             :   2148: затем, следующий, другой
child            :   2142: ребенок
boy              :   2132: мальчик
lie              :   2120: лежать, лгать, ложь
dead             :   2114: мертвый
since            :   2109: с, поскольку, с тех пор как, с тех пор
certain          :   2107: определенный, уверенный, , несомненно
water            :   2102: поливать, вода, водный
heart            :   2081: сердце, основа, сердечный
set              :   2072: устанавливать, набор, комплект, инф)установка
small            :   2063: небольшой
wish             :   2056: хотеть
star             :   2049: звезда, звездный
start            :   2048: запускать, начинать, начало, стартовый
slow             :   2043: замедлять, медленный
home             :   2036: дом, домашний, домой
hour             :   2032: час, часовой
girl             :   2024: девушка
between          :   2019: между
remember         :   1994: помнить
almost           :   1988: почти
become           :   1972: становиться
mother           :   1967: мать, материнский
deep             :   1962: глубокий, глубже
tree             :   1956: дерево
whole            :   1950: целый
lady             :   1943: дама, дамский
meet             :   1935: встречать, соответствовать, удовлетворять, выполнять
believe          :   1928: верить
sleep            :   1906: спать, сон
smile            :   1901: улыбаться, улыбка
wonder           :   1899: удивляться, удивление, чудо
table            :   1894: стол, инф)таблица, табличный
stone            :   1892: облицовывать, камень, каменный
fire             :   1887: сжигать, стрелять, огонь, пожар, обстрел, пожарный
street           :   1884: улица, уличный
reach            :   1881: достигать
each             :   1868: каждый
morning          :   1868: утро, утром
rest             :   1841: ставить, отдыхать, лежать, отдых, остальной
grow             :   1835: выращивать, расти, расти
quick            :   1830: быстро, быстрый
shake            :   1829: трясти, шейк
hope             :   1828: надеяться, надежда
across           :   1826: через
bear             :   1816: нести, перевозить, выдерживать, медведь
land             :   1809: сажать|посадить, приземляться, земля, страна
rise             :   1802: повышать, подниматься, повышение
clear            :   1798: очистка, очищать, ясный, ясно
large            :   1796: большой
perhaps          :   1787: возможно
draw             :   1777: делать, граф)рисовать, экон)получать, вытаскивать
book             :   1771: заказывать, книга, книжный
read             :   1738: читать, чтение
bite             :   1729: кусать, укус
else             :   1723: еще
matter           :   1721: материал
fear             :   1720: бояться, страх
ground           :   1707: заземлять, земля, заземление
minute           :   1702: минута, подробный, минутный
second           :   1697: Дсекунда, второй, во-вторых
strange          :   1697: странно, странный
win              :   1696: завоевывать, выигрывать, выигрыш
sort             :   1692: сортировать, сортировка, тип
together         :   1690: вместе
lose             :   1687: терять, проигрывать, потеря
laugh            :   1670: смеяться, смех
indeed           :   1666: на самом деле
hair             :   1655: волос, волосяной
suppose          :   1653: полагать, допустим
understand       :   1652: понимать
poor             :   1633: бедный
lead             :   1631: вести, лидировать, свинец, )лидерство, элек)вывод, ход, свинцовй
send             :   1620: посылать
master           :   1617: овладевать, мастер, эталон, основной
above            :   1598: выше, вышеуказанное
catch            :   1597: ловить|поймать
body             :   1594: воплощать, тело, организация, орган
road             :   1583: дорога, дорожный
present          :   1573: представлять, обеспечивать, присутствовать, настоящее, настоящий, современный
everything       :   1569: весь
full             :   1565: полный, полностью
case             :   1536: случай, дело, ящик, падеж, в таком случае
herself          :   1520: мсама, себя, она
pull             :   1510: тянуть
best             :   1505: наилучшим образом, наилучший
aunt             :   1496: тетя
cold             :   1495: холод, холодный
doctor           :   1491: доктор
city             :   1485: город, городской
death            :   1482: смерть, смертельный
dream            :   1469: мечтать, мечта
front            :   1464: передний план, передний
rather           :   1462: довольно, предпочтительно
easy             :   1458: легко, легкий
finger           :   1458: показывать, палец
professor        :   1457: профессор
would            :   1455: быть, должен, если бы, хотеть
quiet            :   1453: успокаивать, тишин, тихий
floor            :   1451: пол, зал, этаж
appear           :   1450: появляться, появление, оказывается, оказалось
listen           :   1445: слушать
forget           :   1435: забывать
also             :   1434: также
among            :   1430: среди
least            :   1425: наименее, наименьший
question         :   1420: спрашивать, вопрос, вопросный
throw            :   1418: бросать
shadow           :   1410: тень, теневой
beyond           :   1406: за
big              :   1404: большой, больше
mountain         :   1404: гора, горный
already          :   1403: уже
beside           :   1401: рядом с
power            :   1400: мощность, право, перс)полномочие, силовой
mouth            :   1397: рот, отверстие, устье
kill             :   1393: убивать, уничтожать
lot              :   1392: партия, масса, участок, много
wind             :   1392: заводить, мотать, извиваться, ветер, оборот
less             :   1390: менее, меньший, меньше
whose            :   1386: чей, который
die              :   1382: умирать, мех)ролик, пресс-форма
past             :   1381: прошлое, прошлый
use              :   1380: использовать, использование
play             :   1379: играть, игра, пьеса
alone            :   1370: только, один
letter           :   1364: докм)письмо, инф)знак)буква
write            :   1359: писать, инф)записывать, запись
interest         :   1358: интересовать, интерес, доля, участие, процент
please           :   1358: пожалуйста
stay             :   1354: оставаться, пребывание
however          :   1352: тем не менее
god              :   1350: бог
form             :   1348: формировать, форма
heavy            :   1346: тяжелый
forward          :   1335: пересылать, форвард, форвардный, дальше
order            :   1335: заказывать, упорядочивать, приказывать, порядок, потр)экон)заказ, воен)приказ, команда
whisper          :   1331: шептать, шепот
drink            :   1330: пить, напиток
idea             :   1330: идея
tom              :   1329: том
family           :   1322: семейство, семья, семейный
short            :   1318: шунтировать, перемычка, короткий
sam              :   1315: сэм
live             :   1311: жить, живой
human            :   1304: человеческий
hide             :   1303: прятать, шкура
carry            :   1302: нести, отправлять, перенос
trouble          :   1301: беспокоить, проблема
four             :   1297: четыре, четырех
five             :   1294: пять, пяти
eat              :   1292: есть
secret           :   1287: секрет, секретный
strong           :   1287: прочный, сильный
till             :   1275: до
bad              :   1272: плохо, плохой
top              :   1267: завершать, верх, верхний
step             :   1265: вести, входить, шаг, мера
touch            :   1264: касаться, прикосновение, налет, сенсорный
shoulder         :   1262: взваливать на плечи, плечо
thank            :   1261: благодарить
glass            :   1254: стекло, стакан, стеклянный
low              :   1253: снижать, низкий уровень, низкий, низко
notice           :   1252: замечать, обращать внимание, докм)уведомление
true             :   1250: верно, истиный, истинность
tear             :   1234: рвать, слеза
hill             :   1233: холм
wear             :   1229: носить, изнашивать, износ
outside          :   1227: за пределами, внешний, снаружи
happy            :   1224: счастливый
breath           :   1220: дыхание, вздох
wood             :   1220: дерево (лес), древесный
drop             :   1218: бросать, падать, капля, падение
green            :   1217: зеленый
line             :   1211: линия, инф)строка
later            :   1209: позже, последующий
sight            :   1206: зрение
son              :   1202: сын, порожденный, дочерний
inside           :   1192: в, внутрь, внутренность, внутренний
fact             :   1186: факт
expect           :   1180: ожидать
general          :   1170: генерал, общее, общий
paper            :   1165: бумага, граф)статья, бумажный
hang             :   1163: вешать, зависать, зависание
hall             :   1159: холл
chair            :   1153: кафедра, стул
learn            :   1148: узнавать
someone          :   1145: кто-нибудь
gold             :   1141: золото, золотой
possible         :   1140: возможно, возможный
business         :   1139: дело(бизнес), деловой
nor              :   1133: ни
doubt            :   1130: сомневаться, сомнение
ear              :   1130: ухо, слух, колос, слуховой
leg              :   1130: нога, ветвь
cut              :   1125: резать, удалять, гранить, снижение, порез, кусок
money            :   1123: деньги, финансовый
raise            :   1122: поднимать, возводить
corner           :   1119: поставить в безвыходное положение, угол
hundred          :   1118: сот, сотня
remain           :   1117: оставаться
figure           :   1115: считать, фигура, инф)цифра
wide             :   1111: широкий
sun              :   1094: солнце, солнечный
late             :   1091: поздно, последний, конец
silent           :   1089: тихий, инф)отключенный
ready            :   1087: готовый
silence          :   1087: заглушать, тишина
soft             :   1087: мягко, мягкий
bloom            :   1082: расцветать, расцвет
build            :   1080: строить, инф)формировать
surprise         :   1080: удивлять, сюрприз, неожиданный
week             :   1076: неделя, недельный
earth            :   1065: земля, заземление, земной
sea              :   1065: море, морской
shout            :   1062: кричать, крик
drive            :   1061: управлять, запускать, загонять, ездить|проехать, проезд, инф)накопитель, энергия
pretty           :   1060: изрядно, красивый
free             :   1059: свободно, бесплатно, освобождать, свободный
river            :   1057: река, речной
sky              :   1057: небо, небесный
ten              :   1050: десять, десяти
often            :   1047: часто
either           :   1043: также, или, любой
sense            :   1041: чувствовать, значение, чувство
fight            :   1040: с, борьба
shut             :   1038: закрывать
guard            :   1033: охранять, охрана
hat              :   1032: шляпа
care             :   1027: интересовать, забота
sometime         :   1026: где-то
rock             :   1025: качаться, скала
age              :   1024: стареть, возраст, век, возрастной
whether          :   1017: независимо
fly              :   1013: запускать, летать, поднимать, полет, муха, ширинка
pick             :   1011: выбирать, указка
reason           :   1010: причина
brother          :   1006: брат, родственный
gate             :   1000: пропускать, ворота
probable         :    999: вероятно, вероятный
enter            :    997: ввод; вводить, вход; входить
within           :    997: в пределах, в течение
school           :    996: школа, школьный
add              :    993: добавлять, дополнение
none             :    993: ничто, никакой
sign             :    992: подписывать, знак, конт)подпись, признак
pocket           :    989: карман, карманный
whom             :    989: кто, который
cover            :    984: покрывать, защищать, покрытие, кожух, обложка
ago              :    983: тому назад
save             :    981: спасать, охранять, защищать, ограждать, беречь, экономить
blow             :    980: дуть, удар
change           :    979: изменение, изменять, отличие, отличаться
town             :    978: город
yourself         :    977: сами, себя
glance           :    970: взгляд
able             :    968: способный
strike           :    968: нажимать, забастовка
lay              :    967: класть, лежать
story            :    967: рассказ, повесть, этаж
usual            :    965: обычно, обычный
edge             :    963: изменять, край, ребро, краевой
force            :    963: заставлять, усилие, сила, принудительный
manner           :    963: способ
different        :    961: другой, отличный, различный
pay              :    959: экон)платить, обращать, оплата
themself         :    959: сам, себя
except           :    958: кроме, за исключением того
maybe            :    958: может быть
roll             :    957: прокручивать, мех)прокатывать, переворачивать, инф)перематывать, реестр, рулон, мех)ролик
elf              :    953: эльф
wizard           :    953: колдун
dress            :    951: одевать, платье
horse            :    950: лошадь
afraid           :    947: испуганный
bright           :    947: яркий, блестящий
car              :    947: автомобиль, автомобильный
state            :    943: штат, государственный
uncle            :    938: дядя
careful          :    937: осторожный, тщательный
witch            :    935: ведьма
bend             :    934: изгибать, гнуть, поворот
person           :    934: человек
dragon           :    933: дракон
final            :    932: финал, конечный
anyone           :    931: каждый, любой
sister           :    930: сестра, однотипный
creature         :    927: творение
chance           :    925: случаться, шанс, случайный
loud             :    925: громкий, шумный
cross            :    923: пересекать, докм)разминуться, пересечение, перекрестный
below            :    921: ниже
itself           :    921: мсам, себя, непосредственно, он
ship             :    921: транс)отправлять, инф)загружать, судно, астр)корабль
glad             :    920: радый
shape            :    919: формировать, форма
number           :    918: перечислять, число, номер, количество
thousand         :    915: тысяча, тысячный
wake             :    915: будить, просыпаться
fine             :    909: очищать, экон)штрафовать, пеня, штраф, тонкий, отлично
fill             :    906: заполнять, наполнитель
box              :    905: боксировать, ящик, бокс, инф)блок
wrong            :    904: неправильно, неправильный
daemon           :    903: демон
stick            :    903: втыкать, приклеивать, торчать, палка
lip              :    902: губа
seat             :    897: усаживать, место
grey             :    896: серый
hurry            :    891: спешить, спешка
shoot            :    891: стрелять, фото)снимать
alice            :    886: элис
wild             :    885: дикий
fellow           :    882: парень
country          :    881: страна, муз)кантри
deal             :    879: иметь дело, сделка
plan             :    875: план
mark             :    870: выделять, маркировать, обозначать, отметка, маркер, марк, экон)марка
safe             :    870: сейф, безопасный
simple           :    869: простой
several          :    867: различный
climb            :    864: подниматься
blue             :    860: синий
dog              :    860: собака, собачий
john             :    859: джон, артс)иоанн
slight           :    859: легкий, незначительный
piece            :    856: часть, кусок
terrible         :    856: страшный
memory           :    852: память, воспоминания
bank             :    850: экон)банк, банковский
clock            :    844: синхронизировать, часы
knife            :    840: нож
fair             :    838: ярмарка, выставка, честный, светлый, справедливо
tower            :    833: возвышаться, башня
exact            :    828: точный
smoke            :    828: курить, дымить, дым
sorry            :    827: огорченный
crowd            :    825: собираться, толпа
picture          :    824: изображать, изображение, артс)картина, фото)снимок, картинный
wave             :    824: отклонять, махать, волна, волновой
chapter          :    823: глава, отделение
company          :    819: компания, воен)рота
north            :    818: север, северный
ride             :    816: ездить, ехать, поездка
burn             :    814: жечь, гореть, обжигать, ожог
blood            :    813: кровь, кровяной
everyone         :    811: весь
fast             :    809: быстро, быстрый
space            :    809: пространство, инф)пробел, космический
spring           :    809: прыгать, весна, мех)авто)пружина, прыжок, весенний
lock             :    808: запирать, замок, инф)блокировка
warn             :    805: предупреждать
count            :    804: считать, счет
empty            :    804: пустой
merry            :    802: веселый
guess            :    797: догадываться, догадка
nod              :    797: кивать, кивок
cloud            :    796: затемнять, облако
curious          :    792: любопытно, любопытный
spirit           :    792: дух
gentleman        :    789: джентльмен
wife             :    780: жена
captain          :    779: капитан, капитанский
mine             :    779: геол)шахта, воор)мина, мой
lift             :    778: поднимать, лифт
slip             :    778: надевать, скользить, скольжение, ошибка
darkness         :    777: темнота
noise            :    777: шум
war              :    777: война, военный
hole             :    774: отверстие, астр)дыра
perfect          :    772: улучшать, отличный
twenty           :    772: двадцать, двадцати
whatever         :    772: все, что, независимо от того, какой
longer           :    769: дольше, более длинный
path             :    766: путь, инф)маршрут
nature           :    765: природа, характер
attention        :    764: внимание
complete         :    762: завершать, полный
wand             :    762: палочка
mention          :    761: упоминать, ссылка
office           :    760: офис, офисный
stair            :    758: ступенька
escape           :    755: избегать, переход
ahead            :    753: вперед, впереди
finish           :    751: завершать, заканчивать, конец
bag              :    748: мешок, мультимножество
thick            :    748: толстый, плотный, густой
cause            :    747: вызывать, заставлять, причина, процесс, дело
bow              :    744: кланяться, подчиняться, поклон, лук
vim              :    742: прыть
need             :    740: необходимость, нужно
ah               :    739: ах
direction        :    739: направление, руководство
field            :    736: область
neck             :    736: шея
plain            :    736: равнина, простой, гладкий
key              :    733: ключ, инф)клавиша, ключевой
mile             :    732: миля
press            :    732: нажимать, пресса, инф)нажатие, корреспондентский
allow            :    731: допускать, позволять
gentle           :    731: мягкий
daughter         :    729: дочь, дочерний
dwarf            :    729: карлик
particular       :    729: конкретный, в частности
six              :    729: шесть, шести
bar              :    728: преграждать, бар, полоса, инф)зона, брусок, адвокатура, суд
pale             :    724: бледный
smell            :    723: пахнуть, чувствовать запах, запах, обоняние
moon             :    722: луна, лунный
nose             :    722: выискивать, нос, носовой
sharp            :    720: точно, острый
ancient          :    716: древний, старинный
anyway           :    716: во всяком случае
evil             :    714: зло, злой
faint            :    714: слабый
act              :    713: действовать, действие
silver           :    712: серебро, серебряный
mere             :    709: просто, простой
yard             :    707: ярд
bird             :    706: птица
visit            :    706: посещать, визит
note             :    703: иметь в виду, примечание
stuff            :    703: набивать, материал
month            :    702: месяц, месячный
nice             :    701: мило, хороший
scream           :    701: кричать, крик
subject          :    701: в зависимости от
west             :    701: запад, западный, на западе
lean             :    697: сгибать, наклоняться, прислоняться, тощий
somewhere        :    697: где-нибудь, куда-нибудь
horror           :    695: ужас, ужасный
knock            :    695: стучать, ударять, стук, удар
potter           :    693: гончар
explain          :    691: объяснять
reply            :    691: отвечать, ответ
common           :    689: общий
straight         :    688: прямо, сразу, прямой
game             :    687: игра
pause            :    687: останавливаться, пауза
pippin           :    687: пепин
golden           :    685: золотой, золотистый
consider         :    684: рассматривать, считать, решать
trust            :    684: верить, доверие, экон)траст
beautiful        :    683: красивый
further          :    683: продвигать, дальше, дальнейший
mad              :    681: сумасшедший, безумный
soul             :    677: душа
party            :    675: партия, конт)экон)транс)сторона, встр)вечеринка
queen            :    675: королева, королевский
train            :    675: готовить, поезд
marry            :    674: вступать в брак с
cat              :    673: кошка
receive          :    672: получать, приемник
beat             :    671: бить, опережать, ритм, такт
enemy            :    671: неприятель, враждебный
join             :    671: к, соединять, груп)объединять, соединение
spot             :    671: определять, точка
continue         :    668: продолжать, оставаться
middle           :    668: середина, средний
van              :    667: фургон, вагон, вэн
account          :    666: считать, счет, отчет, учетный
garden           :    665: сад
hot              :    665: горячий
pain             :    664: боль
iron             :    660: гладить, железо, железный
sword            :    658: сабля, сабельный
expression       :    657: выражение
folk             :    657: народ, народный
object           :    656: возражать, объект, объектный
elizabeth        :    653: элизабет
snow             :    652: снег, снежный
search           :    651: искать, поиск
hop              :    650: прыжок, хмель, хмелевой
worry            :    649: беспокоиться, озабоченность
buy              :    647: покупать
hit              :    647: поражать, нападать, инф)нажимать, удар
ought            :    644: должен
odd              :    643: нечетный, странный
push             :    642: выталкивать, толчок
study            :    642: изучать, заниматься, анализ
instant          :    640: момент, мгновенный
during           :    639: во время, в течение
thin             :    638: тонкий
magic            :    636: магия, волшебный
settle           :    636: решать, урегулировать, оседать, астр)осваивать
view             :    636: рассматривать, вид, зрение, представление, точка зрения
steppe           :    635: степь
job              :    634: работа, задание
leap             :    633: прыгать, прыжок, скачок
promise          :    631: обещать, обещание
dust             :    630: пыль
forest           :    630: лес, лесной
warm             :    630: нагревать, тепло, теплый
instead          :    628: взамен
offer            :    628: предлагать, предложение
angry            :    626: сердитый
seek             :    625: искать, поиск
pleasure         :    623: удовольствие
choose           :    622: выбирать, решать, выбор
clothe           :    622: одевать, облекать
lower            :    622: уменьшать, более низкий, ниже
mutter           :    622: бормотать
stream           :    622: течь, поток
kiss             :    621: целовать, поцелуй
boat             :    619: лодка, судно
natural          :    619: естественно, естественный
truth            :    618: истина
sing             :    617: петь
observe          :    616: наблюдать, соблюдать
dinner           :    615: обед
food             :    615: пища, продовольственный
tall             :    608: высокий, ростом, выше
ring             :    607: звонить, кольцо, кольцевой
decide           :    604: решать
horrible         :    603: ужасный
vanish           :    603: исчезать
spend            :    602: тратить
grave            :    601: могила, ударение, серьезный, важный
actual           :    600: фактический
gather           :    600: собирать
repeat           :    600: повторять, повторение
south            :    600: юг, южный
manage           :    599: управлять
ill              :    598: зло, недуг, плохой, больной, дурно
dance            :    597: танцевать, танец
stephen          :    594: стивен
roof             :    593: крыть, крыша
ghost            :    592: призрак
sink             :    592: погружать, топить, погружаться, тонуть, раковина
grass            :    590: трава
jim              :    586: джим
carter           :    584: возчик, картер
dry              :    583: сушить, сохнуть, протирать, сухой
narrow           :    583: суживать, узкий
hurt             :    582: ранить, повреждение, рана
knee             :    581: колено, коленный
law              :    581: закон, юридический
reckon           :    581: подсчитывать, расплачиваться
service          :    580: обслуживать, услуга, обслуживание, воен)служба
arrive           :    579: прибывать
george           :    578: джордж
worse            :    578: хуже, плохой
yeah             :    578: да
alive            :    577: живой, готовый, работоспособный
distance         :    577: расстояние
length           :    577: длина, продолжительность, отрезок
desk             :    576: стол, пульт, настольный
sweet            :    573: приятно, приятный, сладкий
art              :    570: искусство
crack            :    566: трескаться, трещина, отборный
approach         :    565: достигать, приближаться, метод
realize          :    563: реализовывать, понимать
colour           :    562: фото)окрашивать, цвет, цветной
brain            :    560: мозг, мозговой
tale             :    560: рассказ, повесть
seven            :    558: семь, семи
valley           :    556: долина
circle           :    553: круг
fancy            :    553: предполагать, увлекаться, воображение, причудливый
purpose          :    552: исключительно для
third            :    552: третий
brown            :    551: коричневый
effect           :    551: производить, эффект
london           :    551: лондон, лондонский
tremble          :    551: дрожать, дрожь
kid              :    550: шутить, ребенок, козленок, лайковый
distant          :    549: отдаленный
onto             :    549: на
sigh             :    548: вздыхать, вздох
beneath          :    547: под
important        :    547: важно, важный
rush             :    547: спешить, спешка, срочный, срочно
sirius           :    547: сириус
strength         :    547: сила, прочность, воен)численность
east             :    545: восток, восточный
crouch           :    544: приседать
fit              :    542: устанавливать, приступ, годный
gray             :    542: серый
stretch          :    541: протягивать
imagine          :    540: представлять себе
jump             :    540: прыгать, перескакивать, прыжок, инф)переход
direct           :    538: направлять, прямой
neither          :    538: никакой, ни
cloak            :    537: плащ
nobody           :    537: никто
shock            :    537: потрясать, шокировать, потрясение, удар, шок
speed            :    537: ускорять, скорость, скоростной
tea              :    537: чай, чайный
tone             :    537: оттенок
wing             :    537: крыло
thought          :    535: думать, мысль
dim              :    531: затемнять, тусклый
flower           :    531: цветок, цветочный
report           :    531: сообщать, сообщение
today            :    530: сегодня
teeth            :    529: зуб, зубной
fred             :    528: фред
bare             :    527: чистый
yellow           :    527: желтый
breakfast        :    526: завтрак
jam              :    526: зажимать, замятие, давка, джем, затор
journey          :    526: путешествие, поездка
